iter	Passed	Remaining
1508	601061	195573
1509	601450	195172
1510	601850	194775
1511	602288	194389
1512	602708	193998
1513	603102	193598
1514	603524	193207
1515	603946	192816
1516	604394	192434
1517	604843	192051
1518	605269	191662
1519	605671	191264
1520	606077	190868
1521	606497	190476
1522	606922	190086
1523	607363	189701
1524	607753	189300
1525	608141	188898
1526	608529	188496
1527	608938	188101
1528	609335	187702
1529	609748	187308
1530	610140	186907
1531	610530	186506
1532	610965	186119
1533	611400	185731
1534	611789	185330
1535	612186	184931
1536	612598	184536
1537	612996	184138
1538	613403	183741
1539	613822	183349
1540	614219	182950
1541	614644	182559
1542	615063	182167
1543	615475	181772
1544	615880	181375
1545	616271	180975
1546	616675	180577
1547	617107	180188
1548	617530	179797
1549	617933	179400
1550	618320	178998
1551	618753	178609
1552	619209	178227
1553	619611	177829
1554	620028	177435
1555	620468	177048
1556	620884	176654
1557	621278	176254
1558	621679	175856
1559	622078	175458
1560	622527	175073
1561	622923	174673
1562	623329	174276
1563	623719	173875
1564	624109	173474
1565	624509	173075
1566	624899	172674
1567	625284	172272
1568	625678	171872
1569	626087	171476
1570	626503	171082
1571	626899	170682
1572	627289	170281
1573	627685	169881
1574	628082	169482
1575	628514	169092
1576	628911	168693
1577	629306	168293
1578	629725	167900
1579	630118	167499
1580	630537	167106
1581	630932	166706
1582	631343	166310
1583	631758	165916
1584	632152	165516
1585	632547	165116
1586	632941	164716
1587	633348	164319
1588	633740	163919
1589	634159	163525
1590	634550	163124
1591	635002	162739
1592	635401	162340
1593	635801	161941
1594	636228	161550
1595	636607	161146
1596	637004	160746
1597	637394	160345
1598	637774	159942
1599	638198	159549
1600	638590	159149
1601	639019	158757
1602	639444	158365
1603	639835	157964
1604	640235	157565
1605	640648	157170
1606	641081	156779
1607	641478	156380
1608	641858	155976
1609	642255	155577
1610	642647	155176
1611	643041	154776
1612	643442	154378
1613	643838	153978
1614	644223	153576
1615	644626	153178
1616	645007	152775
1617	645430	152382
1618	645861	151990
1619	646273	151594
1620	646655	151192
1621	647076	150798
1622	647509	150407
1623	647897	150005
1624	648289	149605
1625	648691	149207
1626	649077	148804
1627	649455	148401
1628	649869	148005
1629	650277	147609
1630	650701	147215
1631	651087	146813
1632	651509	146419
1633	651929	146025
1634	652321	145625
1635	652708	145223
1636	653117	144826
1637	653518	144428
1638	653908	144027
1639	654319	143631
1640	654710	143230
1641	655101	142829
1642	655500	142430
1643	655917	142035
1644	656362	141646
1645	656761	141247
1646	657192	140855
1647	657574	140452
1648	657961	140051
1649	658398	139660
1650	658832	139268
1651	659219	138867
1652	659610	138466
1653	660005	138066
1654	660428	137672
1655	660822	137272
1656	661214	136871
1657	661599	136469
1658	661989	136068
1659	662367	135665
1660	662753	135263
